neighbourhood,price,room_type,iqr_lower_bound,iqr_median_price,iqr_upper_bound
Thon buri,460,Entire home/apt,348.0,1112.0,2203.0
Chom Thong,664,Private room,400.0,980.0,2244.75
Phra Khanong,1450,Private room,350.0,1000.0,2845.0
Phaya Thai,1650,Entire home/apt,374.0,1471.5,3298.625
Ratchathewi,3750,Entire home/apt,500.0,1608.0,4112.5
Bang Rak,2200,Entire home/apt,598.0,1874.0,6097.5
Sathon,1500,Entire home/apt,350.0,1350.0,3257.5
Bang Rak,1004,Private room,360.0,1500.0,4286.0
Ratchathewi,866,Entire home/apt,500.0,1608.0,4112.5
Khlong Toei,950,Private room,360.0,1275.0,3650.0
Suanluang,519,Private room,354.0,950.0,2169.0
Parthum Wan,2850,Private room,350.0,1800.0,4408.25
Khlong Toei,2355,Entire home/apt,332.0,1600.0,3447.5
Ratchathewi,4156,Entire home/apt,500.0,1608.0,4112.5
Khlong Toei,1697,Entire home/apt,332.0,1600.0,3447.5
Saphan Sung,900,Private room,350.0,750.0,1468.5
Phra Nakhon,1064,Private room,392.0,1250.0,3198.0
Bang Rak,2282,Entire home/apt,598.0,1874.0,6097.5
Vadhana,2199,Entire home/apt,350.0,1800.0,4300.0
Thon buri,480,Private room,350.0,1001.0,3138.625
Ratchathewi,2355,Private room,420.0,1378.0,3204.625
Sathon,900,Private room,353.0,1199.0,2602.5
Chatu Chak,1570,Entire home/apt,350.0,1039.0,2856.25
Sathon,1050,Private room,353.0,1199.0,2602.5
Bang Rak,2222,Hotel room,350.0,1599.0,3921.5
Vadhana,1200,Hotel room,365.0,1600.0,5273.375
Vadhana,1400,Hotel room,365.0,1600.0,5273.375
Bang Rak,312,Shared room,295.0,400.0,818.75
Bang Kapi,700,Entire home/apt,346.0,860.0,2487.5
Yan na wa,1490,Entire home/apt,400.0,1500.0,3942.625
Vadhana,1600,Entire home/apt,350.0,1800.0,4300.0
Khlong Toei,410,Shared room,350.0,560.0,1762.5
Khlong Toei,600,Entire home/apt,332.0,1600.0,3447.5
Huai Khwang,500,Private room,350.0,1108.0,3605.0
Khlong Toei,1480,Private room,360.0,1275.0,3650.0
Khlong Toei,850,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,1880,Private room,360.0,1275.0,3650.0
Bang Rak,1600,Entire home/apt,598.0,1874.0,6097.5
Vadhana,2000,Entire home/apt,350.0,1800.0,4300.0
Vadhana,2000,Entire home/apt,350.0,1800.0,4300.0
Khlong Toei,2329,Hotel room,350.0,1771.0,3977.5
Khlong Toei,2329,Hotel room,350.0,1771.0,3977.5
Bangkok Noi,690,Entire home/apt,350.0,825.0,2361.25
Vadhana,3800,Private room,350.0,1500.0,4015.0
Vadhana,770,Private room,350.0,1500.0,4015.0
Phaya Thai,1800,Private room,399.0,1285.5,3459.125
Din Daeng,1500,Private room,363.0,950.0,2700.0
Dusit,1247,Entire home/apt,750.0,1247.0,4260.0
Vadhana,2182,Entire home/apt,350.0,1800.0,4300.0
Lat Krabang,1461,Private room,346.0,849.0,2206.25
Vadhana,1599,Entire home/apt,350.0,1800.0,4300.0
Yan na wa,1489,Private room,418.0,1090.0,2357.0
Khlong Toei,2500,Entire home/apt,332.0,1600.0,3447.5
Phra Nakhon,1350,Private room,392.0,1250.0,3198.0
Phra Nakhon,595,Shared room,360.0,550.0,664.0
Phasi Charoen,450,Entire home/apt,346.0,1000.0,2279.0
Ratchathewi,4121,Entire home/apt,500.0,1608.0,4112.5
Vadhana,3000,Entire home/apt,350.0,1800.0,4300.0
Huai Khwang,1057,Entire home/apt,443.0,1300.0,3000.0
Khlong San,4156,Entire home/apt,450.0,1305.0,2978.875
Phra Khanong,1555,Private room,350.0,1000.0,2845.0
Sathon,350,Entire home/apt,350.0,1350.0,3257.5
Phaya Thai,1250,Entire home/apt,374.0,1471.5,3298.625
Phra Nakhon,639,Private room,392.0,1250.0,3198.0
Huai Khwang,799,Entire home/apt,443.0,1300.0,3000.0
Vadhana,2424,Entire home/apt,350.0,1800.0,4300.0
Phra Nakhon,1290,Private room,392.0,1250.0,3198.0
Bang Na,1000,Entire home/apt,350.0,950.0,2189.75
Phra Nakhon,1990,Private room,392.0,1250.0,3198.0
Sathon,1170,Entire home/apt,350.0,1350.0,3257.5
Phra Khanong,762,Private room,350.0,1000.0,2845.0
Wang Thong Lang,5000,Entire home/apt,450.0,800.0,3616.5
Phra Nakhon,4000,Hotel room,318.0,985.0,4786.375
Pra Wet,1200,Entire home/apt,407.0,1121.5,2586.0
Huai Khwang,1200,Entire home/apt,443.0,1300.0,3000.0
Bang Sue,757,Private room,346.0,1000.0,2311.25
Ratchathewi,4429,Hotel room,400.0,1474.0,3346.625
Thon buri,450,Entire home/apt,348.0,1112.0,2203.0
Khlong Toei,550,Private room,360.0,1275.0,3650.0
Bang Na,971,Entire home/apt,350.0,950.0,2189.75
Bang Rak,1800,Entire home/apt,598.0,1874.0,6097.5
Chatu Chak,993,Entire home/apt,350.0,1039.0,2856.25
Vadhana,2093,Private room,350.0,1500.0,4015.0
Khlong Sam Wa,1095,Entire home/apt,734.0,1450.0,4607.5
Bang Phlat,550,Private room,346.0,817.5,1850.0
Vadhana,4000,Entire home/apt,350.0,1800.0,4300.0
Khlong Toei,1166,Entire home/apt,332.0,1600.0,3447.5
Phra Khanong,480,Private room,350.0,1000.0,2845.0
Huai Khwang,1000,Entire home/apt,443.0,1300.0,3000.0
Khlong Toei,1212,Entire home/apt,332.0,1600.0,3447.5
Bang Rak,1795,Entire home/apt,598.0,1874.0,6097.5
Sai Mai,866,Private room,335.0,570.0,1818.75
Vadhana,941,Entire home/apt,350.0,1800.0,4300.0
Din Daeng,1200,Private room,363.0,950.0,2700.0
Phaya Thai,3800,Private room,399.0,1285.5,3459.125
Bang Na,1200,Entire home/apt,350.0,950.0,2189.75
Huai Khwang,864,Entire home/apt,443.0,1300.0,3000.0
Suanluang,843,Entire home/apt,350.0,1000.0,2558.25
Ratchathewi,5679,Hotel room,400.0,1474.0,3346.625
Ratchathewi,6129,Hotel room,400.0,1474.0,3346.625
Ratchathewi,5679,Hotel room,400.0,1474.0,3346.625
Khlong Toei,1500,Entire home/apt,332.0,1600.0,3447.5
Chatu Chak,1200,Entire home/apt,350.0,1039.0,2856.25
Huai Khwang,1000,Entire home/apt,443.0,1300.0,3000.0
Vadhana,3400,Private room,350.0,1500.0,4015.0
Bang Rak,1750,Entire home/apt,598.0,1874.0,6097.5
Phasi Charoen,3000,Entire home/apt,346.0,1000.0,2279.0
Suanluang,1004,Private room,354.0,950.0,2169.0
Vadhana,6000,Entire home/apt,350.0,1800.0,4300.0
Pra Wet,900,Private room,334.0,899.5,2756.25
Lak Si,1490,Entire home/apt,360.0,900.0,2341.25
Vadhana,5000,Private room,350.0,1500.0,4015.0
Lak Si,980,Entire home/apt,360.0,900.0,2341.25
Khlong Toei,1300,Entire home/apt,332.0,1600.0,3447.5
Don Mueang,900,Private room,346.0,800.0,1581.25
Bang Khen,800,Private room,400.0,827.0,2550.0
Huai Khwang,999,Entire home/apt,443.0,1300.0,3000.0
Parthum Wan,5000,Private room,350.0,1800.0,4408.25
Lak Si,1000,Private room,350.0,800.0,1737.5
Khlong Toei,3300,Entire home/apt,332.0,1600.0,3447.5
Huai Khwang,1500,Entire home/apt,443.0,1300.0,3000.0
Sathon,4166,Entire home/apt,350.0,1350.0,3257.5
Vadhana,1500,Entire home/apt,350.0,1800.0,4300.0
Bangkok Noi,850,Private room,300.0,900.0,2301.375
Bang Rak,980,Private room,360.0,1500.0,4286.0
Phra Khanong,700,Entire home/apt,337.0,999.0,2585.0
Bang Rak,980,Private room,360.0,1500.0,4286.0
Bang Rak,1400,Private room,360.0,1500.0,4286.0
Khlong Toei,1400,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,1883,Entire home/apt,332.0,1600.0,3447.5
Suanluang,1732,Entire home/apt,350.0,1000.0,2558.25
Phra Nakhon,930,Entire home/apt,850.0,1894.5,4177.25
Phra Khanong,1300,Private room,350.0,1000.0,2845.0
Min Buri,1399,Entire home/apt,690.0,1350.0,3825.0
Min Buri,1199,Entire home/apt,690.0,1350.0,3825.0
Vadhana,964,Entire home/apt,350.0,1800.0,4300.0
Phra Khanong,1350,Private room,350.0,1000.0,2845.0
Yan na wa,1250,Private room,418.0,1090.0,2357.0
Bang Na,1250,Entire home/apt,350.0,950.0,2189.75
Bang Khun thain,650,Entire home/apt,650.0,1025.0,2335.625
Vadhana,2000,Private room,350.0,1500.0,4015.0
Khlong Toei,2286,Private room,360.0,1275.0,3650.0
Vadhana,2700,Private room,350.0,1500.0,4015.0
Ratchathewi,1336,Entire home/apt,500.0,1608.0,4112.5
Phra Khanong,1450,Private room,350.0,1000.0,2845.0
Bang Sue,799,Private room,346.0,1000.0,2311.25
Vadhana,2700,Private room,350.0,1500.0,4015.0
Vadhana,2700,Private room,350.0,1500.0,4015.0
Bang Rak,868,Entire home/apt,598.0,1874.0,6097.5
Bang Rak,868,Entire home/apt,598.0,1874.0,6097.5
Khlong Toei,2700,Private room,360.0,1275.0,3650.0
Chatu Chak,2700,Private room,315.0,1100.0,2775.0
Chatu Chak,1350,Private room,315.0,1100.0,2775.0
Bang Khen,1350,Private room,400.0,827.0,2550.0
Chatu Chak,1350,Private room,315.0,1100.0,2775.0
Bang Na,610,Entire home/apt,350.0,950.0,2189.75
Phasi Charoen,521,Private room,278.0,839.0,1993.125
Chatu Chak,600,Private room,315.0,1100.0,2775.0
Khlong Toei,1200,Private room,360.0,1275.0,3650.0
Wang Thong Lang,2690,Private room,315.0,736.5,2992.0
Bang Na,1500,Private room,330.0,1037.0,2550.0
Huai Khwang,1350,Private room,350.0,1108.0,3605.0
Phra Khanong,2500,Entire home/apt,337.0,999.0,2585.0
Bueng Kum,2680,Private room,500.0,900.0,2168.75
Bang Rak,1080,Private room,360.0,1500.0,4286.0
Phasi Charoen,600,Private room,278.0,839.0,1993.125
Khlong Toei,1890,Private room,360.0,1275.0,3650.0
Pra Wet,650,Hotel room,650.0,1311.0,2340.0
Parthum Wan,3000,Private room,350.0,1800.0,4408.25
Huai Khwang,2690,Private room,350.0,1108.0,3605.0
Vadhana,2700,Private room,350.0,1500.0,4015.0
Huai Khwang,900,Entire home/apt,443.0,1300.0,3000.0
Ratchathewi,1113,Private room,420.0,1378.0,3204.625
Phra Khanong,800,Private room,350.0,1000.0,2845.0
Bang Na,600,Entire home/apt,350.0,950.0,2189.75
Phaya Thai,2850,Private room,399.0,1285.5,3459.125
Bangkok Yai,1629,Shared room,350.0,400.0,1973.75
Chatu Chak,1300,Entire home/apt,350.0,1039.0,2856.25
Phaya Thai,1400,Private room,399.0,1285.5,3459.125
Khlong Toei,2800,Entire home/apt,332.0,1600.0,3447.5
Phaya Thai,2700,Private room,399.0,1285.5,3459.125
Khlong San,3900,Private room,350.0,1156.5,3300.0
Phra Khanong,1150,Private room,350.0,1000.0,2845.0
Bang Sue,818,Entire home/apt,386.0,840.0,1721.75
Vadhana,2379,Entire home/apt,350.0,1800.0,4300.0
Bang Na,1360,Private room,330.0,1037.0,2550.0
Phra Khanong,1360,Private room,350.0,1000.0,2845.0
Phra Khanong,2000,Private room,350.0,1000.0,2845.0
Phra Khanong,1350,Private room,350.0,1000.0,2845.0
Taling Chan,382,Private room,317.0,1350.0,3725.0
Chatu Chak,898,Entire home/apt,350.0,1039.0,2856.25
Huai Khwang,1090,Entire home/apt,443.0,1300.0,3000.0
Phaya Thai,2350,Private room,399.0,1285.5,3459.125
Phra Khanong,2800,Private room,350.0,1000.0,2845.0
Chatu Chak,1350,Private room,315.0,1100.0,2775.0
Phra Khanong,850,Entire home/apt,337.0,999.0,2585.0
Phaya Thai,1350,Private room,399.0,1285.5,3459.125
Vadhana,561,Private room,350.0,1500.0,4015.0
Sathon,2700,Private room,353.0,1199.0,2602.5
Bang Kapi,2700,Private room,350.0,950.0,3175.0
Bang Rak,1732,Entire home/apt,598.0,1874.0,6097.5
Ratchathewi,2700,Private room,420.0,1378.0,3204.625
Phra Khanong,3000,Private room,350.0,1000.0,2845.0
Bang Khen,950,Private room,400.0,827.0,2550.0
Sathon,1835,Entire home/apt,350.0,1350.0,3257.5
Lak Si,550,Private room,350.0,800.0,1737.5
Bang Na,800,Entire home/apt,350.0,950.0,2189.75
Bang Na,533,Private room,330.0,1037.0,2550.0
Bangkok Noi,2670,Private room,300.0,900.0,2301.375
